docno,title,text
1,"экспериментальное исследование аэродинамики крыла 
в скользящем потоке .","экспериментальное исследование аэродинамики крыла 
в скользящем потоке .
  было проведено экспериментальное исследование крыла в потоке скольжения винта 
для определения распределения подъемной силы по размаху 
увеличение за счет потока скольжения при различных углах атаки крыла 
и при разном соотношении скоростей свободного и скользящего потоков .  
результаты были частично предназначены в качестве основы для оценки различных 
теоретических подходов к этой проблеме .
  сравнительные кривые нагрузки на пролет вместе с 
подтверждающими данными показали, что значительная часть прироста подъемной силы 
, произведенного скользящим потоком, была обусловлена / разгрузкой / или 
эффектом управления пограничным слоем.  интегрированная остаточная подъемная сила 
было обнаружено, что приращение после вычитания этой подъемной силы при разгрузке согласуется 
хорошо с теорией потенциального течения .
  эмпирическая оценка эффектов отмены была произведена для 
конкретной конфигурации эксперимента ."
2,"простое сдвиговое обтекание плоской пластины в несжимаемой жидкости малой вязкости 
.","простое сдвиговое обтекание плоской пластины в несжимаемой жидкости малой вязкости 
.
при изучении высокоскоростного течения вязкой жидкости мимо двумерного тела 
обычно необходимо учитывать изогнутую ударную волну, исходящую от 
носа или передней кромки тела .  следовательно, существует 
область невязкого вращательного течения между ударной волной и пограничным 
слоем .  такая ситуация возникает, например, при исследовании 
гиперзвукового вязкого течения мимо плоской пластины.  ситуация несколько 
отличается от классической задачи Прандтля о пограничном слое . в исходной задаче Прандтля 
невязкий набегающий поток за пределами пограничного слоя является 
безвращательным, в то время как в задаче о гиперзвуковом пограничном слое невязкий 
набегающий поток следует рассматривать как вращательный .  возможные эффекты 
завихренности недавно обсуждались Ферри и Либби .  в 
настоящей работе исследуется простое сдвиговое течение мимо плоской пластины в жидкости с малой 
вязкостью .  можно показать, что эта проблема может снова
лечиться пограничного слоя приближения, единственной новеллой
в том, что свободный поток имеет постоянной завихренностью .  обсуждение 
здесь ограничено двумерным установившимся течением несжимаемой жидкости ."
3,пограничный слой при простом сдвиговом обтекании плоской пластины .,"пограничный слой при простом сдвиговом течении мимо плоской пластины .
уравнения пограничного слоя представлены для стационарного течения. 
несжимаемый поток без градиента давления ."
4,"приближенные решения несжимаемого ламинарного слоя 
уравнения пограничного слоя для пластины при сдвиговом течении .","приближенные решения уравнения несжимаемого ламинарного пограничного слоя для пластины в сдвиговом потоке . 
рассматривается двумерная стационарная задача пограничного слоя
  для плоской пластины в сдвиговом потоке несжимаемой жидкости. 
рассматривается задача для плоской пластины в a 
сдвиговом потоке несжимаемой жидкости .
решения для пограничного слоя- 
толщина слоя, поверхностное трение и скорость 
распределение в пограничном слое 
получены с помощью метода Кармана-Полхаузена 
.  сравнение с 
пограничным слоем равномерного течения также 
было проведено, чтобы показать эффект 
завихренности ."
5,"одномерная переходная теплопроводность в двухслойный материал 
плита, подвергнутая линейному подводу тепла в течение небольшого времени 
внутренняя.","одномерная переходная теплопроводность в двухслойный материал 
плита, подвергнутая линейному подводу тепла в течение небольшого времени 
внутренняя.
  представлены аналитические решения для переходного процесса теплопроводности 
в композитных плитах, подверженных на одной поверхности воздействию тепла с 
треугольной скоростью .  такой тип скорости нагрева может иметь место, например, 
при аэродинамическом нагреве ."
6,"одномерный переходный тепловой поток в многослойной плите 
плита перекрытия.","одномерный переходный тепловой поток в многослойной плите 
плита перекрытия.
  в недавнем сообщении на форуме читателей 
вассерман привел аналитические данные 
решения для температуры в двухслойной плите 
с треугольным подводом тепла 
с одной стороны, изолированной с другой, 
и без термического сопротивления 
на интерфейсе .  его решения были предназначены для 
трех конкретных случаев..
я предлагаю здесь дать общее решение 
этой проблемы, указать 
кратко, как оно получено с использованием метода из 
ссылки 2, и указать 
что решения, данные Вассерманом, являются 
неполными в течение более длительного времени 
чем продолжительность подвода тепла ."
7,"влияние контролируемой трехмерной шероховатости 
на переход пограничного слоя при сверхзвуковых скоростях .","влияние контролируемой трехмерной шероховатости 
на переход пограничного слоя при сверхзвуковых скоростях.
  эксперименты проводились в 12-дюймовом режиме. сверхзвуковые ветра
туннель из Лаборатории реактивного движения в Калифорнии
институт технологии, чтобы исследовать эффект трехмерного
элементы шероховатости (сферах) пограничным слоем с переходом на
лученные в местных чисел Маха 1.90, 2.71, и 3.67 путем изменения
размер поездке, положение, интервал и число Рейнольдса на дюйм .
полученные результаты свидетельствуют о том, что (1) переход от ламинарного к турбулентному
потока, вызванного объемных элементов шероховатости начинается
когда двойной ряд спиральных вихрей продольный каждого элемента
загрязняет и разрушает окружающую поля завихренности, (2)
переход появляется довольно внезапно, становятся более жестокими, с
увеличение высоты шероховатости относительно пограничного слоя
толщина, (3) после разбивки поля завихренности, сила
спирали вихри могут все еще существовать в подслой
последующие турбулентный поток, (4) бокового интервала между элементами шероховатости
мало действуют на начальной неисправности (засорение) 
ламинарный поток, и (5) Поездка Рейнольдса где вы
а v-скорость и вязкость кинематическая при внешнем краю
пограничного слоя, а k-высота шероховатости, например, что переход
возникает в положении шероховатости, меняется, как и позиция Рейнольдс
количество в четверть силы, а именно: где X -
обе позиции ."
8,"измерение эффекта двумерных и трехмерных
элементы шероховатости на границе переходного слоя .","измерение эффекта двумерных и трехмерных
элементы шероховатости на границе переходного слоя .
в своем исследовании влияния шероховатости на переходный процесс Х. Л. 
драйден обнаружил на основе имеющихся данных, что эффект 
двумерного элемента шероховатости, такого как растяжка/
можно было бы достаточно хорошо представить в терминах функционала 
соотношение между и, где - число Рейнольдса 
переход, основанный на расстоянии от передней кромки, равен 
высоте элемента шероховатости и является пограничным слоем 
толщина смещения в зависимости от положения элемента .  по его предложению 
были получены некоторые дополнительные данные, в первую очередь для того, чтобы 
расширить диапазон до более высоких значений в ходе 
исследования перехода на плоской пластине, проведенного в 
национальном бюро стандартов .  после подведения итогов По двух-
были получены объемные элементы шероховатости, им оказался
желательно, чтобы увидеть, является ли строка трехмерной шероховатости
элементы вели бы себя точно так же ."
9,"исследования переходного процесса и измерения поверхностного трения на 
изолированной плоской пластине с числом Маха 5,8 .","исследования переходного процесса и измерения поверхностного трения на 
изолированной плоской пластине с числом Маха 5,8 .
  исследование переходного процесса и поверхностного трения на изолированной пластине 
плоская пластина размером 5 на 26 дюймов была проведена в galcit размером 5 на 5 дюймов.
гиперзвуковая аэродинамическая труба с номинальным числом Маха 5,8.
  метод фосфоресцирующего лака использовался для определения перехода 
и было обнаружено, что он хорошо согласуется с результатами измерений полного напора 
скребковых измерений вдоль поверхности пластины и исследований пограничного слоя по Пито 
.  было установлено, что в пограничном слое;
ламинарный при числах Рейнольдса менее 5 х 10 . поперечное
загрязнение в результате турбулентного пограничного слоя на
боковины тоннеля возникла далеко вниз по течению плоской пластины ведущих мировых
края при числах Рейнольдса от 1,5 до 2 х 10, и распространяются на
равномерный угол 5 против 9 градусов при низкой скорости потока .
  было исследовано влияние двумерных и локальных возмущений 
.  широко использовался метод нагнетания воздуха в пограничный слой 
в качестве средства ускорения перехода.
хотя начало перехода произошло при числах Рейнольдса 
всего лишь 10, полностью развитый турбулентный пограничный слой не был получен 
при числах Рейнольдса намного ниже 2 × 10 
независимо от количества нагнетаемого воздуха .
  приводится качественное обсуждение этих результатов с акцентом 
на возможности большей устойчивости ламинарного пограничного слоя 
в гиперзвуковом потоке, чем при более низких скоростях .
  прямые измерения поверхностного трения были выполнены с помощью метода 
плавающих элементов в диапазоне чисел Рейнольдса 
подтверждено, что они являются ламинарными во всем диапазоне.  с помощью нагнетания воздуха 
турбулентный сдвиг был получен только для чисел Рейнольдса 
числа, превышающие 2 × 10, это значение хорошо согласуется с 
более ранними результатами этого исследования .  коэффициент турбулентного поверхностного трения 
был обнаружен равным примерно 0,40 от коэффициента для 
несжимаемого потока при постоянном значении r и 0,46 для эффективного 
число Рейнольдса от 5 до 6 × 10 ."
10,теория ударной трубы при низком давлении .,"теория ударной трубы при низком давлении .
  для ударной трубы был проведен теоретический анализ 
соотношения между числом Маха набегающего потока и ударом и 
давления и плотности набегающего потока для чрезвычайно низких давлений .
показано, что полученные результаты заметно отличаются от 
соответствующих континуальных соотношений ."
