num,title
1,"
каким законам подобия необходимо следовать при построении аэроупругих моделей 
высокоскоростных самолетов с подогревом.
"
2,"
каковы структурные и аэроупругие проблемы, связанные с полетом 
высокоскоростных самолетов.
"
4,"
какие проблемы теплопроводности в композитных плитах были решены на данный момент 
.
"
8,"
можно ли разработать критерий, эмпирически показывающий обоснованность расхода 
решения для химически реагирующих газовых смесей, основанные на упрощающем 
предположении о мгновенном локальном химическом равновесии.
"
9,"
какая химико-кинетическая система применима к гиперзвуковым аэродинамическим задачам 
.
"
10,"
какие теоретические и экспериментальные руководства у нас есть относительно турбулентности 
поведение течения Куэтта .
"
12,"
возможно ли соотнести доступные распределения давления для 
подвижной передней части под нулевым углом атаки с более низкими поверхностными давлениями для 
эквивалентной подвижной передней части под углом атаки .
"
13,"
какие методы - dash точные или приблизительные -dash доступны в настоящее время 
для прогнозирования давления тела под углом атаки.
"
15,"
статьи по исследованиям внутреннего течения / скольжения / теплопередачи .
"
18,"
доступны ли свойства переноса реальных газов для воздуха в широком диапазоне 
энтальпии и плотности.
"
22,"
возможно ли найти аналитическое, аналогичное решение задачи о сильной 
взрывной волне в ньютоновском приближении.
"
23,"
как можно рассчитать аэродинамические характеристики машин с эффектом заземления в канальном потоке 
.
"
26,"
каков основной механизм работы околозвукового элерона ?
"
27,"
статьи по взаимодействию ударной и звуковой волн .
"
29,"
материальные свойства фотоупругих материалов .
"
31,"
может ли поперечный потенциальный поток вокруг тела вращения быть 
эффективно рассчитан электронно-вычислительной машиной.
"
32,"
может ли трехмерная задача о поперечном потенциальном обтекании 
тела вращения быть сведена к двумерной задаче.
"
33,"
доступны ли экспериментальные распределения давления на тела вращения под углом 
атаки.
"
34,"
существует ли хороший базовый подход к динамике повторного входа 
сочетающий рассмотрение реалистичных эффектов с относительной простотой результатов 
.
"
35,"
кто-нибудь формально определил влияние джоулева нагрева, производимого 
индуцированным током, в магнитогидродинамических потоках свободной конвекции 
в общих условиях .
"
39,"
почему преобразование сжимаемости не соответствует данным о высокой скорости для гелия и воздуха. 
данные о скоростях для гелия и воздуха.
"
40,"
кто-нибудь еще обнаружил, что турбулентное трение о поверхность не является чрезмерным 
чувствителен к характеру изменения вязкости в зависимости от 
температуры .
"
41,"
какой прогресс был достигнут в исследованиях нестационарной аэродинамики .
"
49,"
какие факторы влияют на время, необходимое для инверсии больших матриц 
структурные матрицы .
"
50,"
соответствует ли практический поток теоретическим концепциям для 
взаимодействия между соседними рядами лопастей сверхзвукового каскада .
"
51,"
какова единая приблизительная формула для толщины смещения 
ламинарного пограничного слоя при сжимаемом течении на плоской пластине.
"
52,"
как линейная теория влияет на конструкцию кольцевых или частично кольцевых крыльев 
толщина.
"
53,"
какое применение имеет линейная теория проектирования изогнутых крыльев ?
"
54,"
что такое влияние формы поперечного сечения потока за простой
треугольное крыло с острыми кромками .
"
55,"
статьи по визуализации течения на тонких конических крыльях .
"
56,"
какой размер торцевой пластины можно безопасно использовать для моделирования двумерности 
условия обтекания плоского цилиндрического тела с конечным соотношением сторон.
"
57,"
найти приблизительную поправку на толщину в модели slender с тонким крылом 
теория .
"
58,"
как измерения продольной устойчивости без помех (выполненные 
с использованием моделей свободного полета) сравниваются с аналогичными измерениями, выполненными в 
аэродинамической трубе с низким уровнем засорения.
"
59,"
исследовались ли на систематической основе эффекты помех в аэродинамической трубе 
.
"
61,"
существуют ли какие-либо документы, касающиеся распространения акустических волн в реагирующих газах 
.
"
62,"
кто-нибудь исследовал эффекты релаксации при передаче тепла газом к 
внезапно нагретой стене.
"
66,"
существуют ли какие - либо теоретические методы прогнозирования базового давления ?
"
67,"
зависит ли переход в гиперзвуковом следе от геометрии и размеров корпуса
"
68,"
как можно обнаружить переходные явления в пограничных слоях ?
"
69,"
как можно обнаружить переходные явления в гиперзвуковом следе ?
"
71,"
кто-нибудь исследовал и разработал простую модель вихревого следа 
след за крестообразным крылом .
"
72,"
каков критерий того, что околозвуковой обтекатель профиля с 
круглой передней кромкой может быть достоверно проанализирован линеаризованным околозвуковым обтеканием 
теория .
"
74,"
можете трансзвукового обтекания произвольного ровный тонкий профиль крыла будет
проанализированы простой приблизительно .
"
79,"
каковы детали строгой кинетической теории газов .
(теория Чепмена-энскога) .
"
80,"
кто-нибудь исследовал влияние поверхностного массопереноса на 
гиперзвуковые вязкие взаимодействия.
"
81,"
каково совместное влияние поверхностного тепломассообмена на 
гиперзвуковой поток.
"
82,"
какие существуют решения для гиперзвукового вязкого взаимодействия более
изолированная плоская пластина .
"
83,"
что управляет передним креплением на околозвуковых скоростях .
"
84,"
может ли трехточечная краевая задача для уравнения блазиуса 
быть интегрирована численно, используя подходящие преобразования, без 
итерации граничных условий.
"
85,"
каково влияние небольших количеств разрежения газа на 
характеристики пограничных слоев на тонких телах вращения.
"
86,"
что такое имеющейся информации, относящейся к граничных слоев на очень
стройных тел вращения в континууме потока (?поперечное
влияние кривизны) .
"
